place_id,place_names,latitude,longitude,address,city,city_CN,redirection_url,navigation_url
ChIJzarASCw9aTQREUepyDRX2J4,喬登專業鮮果汁(台中民權店),24.1472,120.67,台中市西區後龍里民權路213巷1號1樓,Taichung City,台中市,https://foodpanda.com.tw/restaurant/xrkd/qiao-deng-zhuan-ye-xian-guo-zhi-tai-zhong-min-quan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%96%AC%E7%99%BB%E5%B0%88%E6%A5%AD%E9%AE%AE%E6%9E%9C%E6%B1%81%28%E5%8F%B0%E4%B8%AD%E6%B0%91%E6%AC%8A%E5%BA%97%29&travelmode=driving
ChIJQ2HbVWA9aTQRfRPg1tPMFxM,菁囍Double Like(台中美村店),24.1493,120.662,台中市西區美村路一段210號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/vucd/jing-xi-double-like-tai-zhong-mei-cun-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%8F%81%E5%9B%8DDouble+Like%28%E5%8F%B0%E4%B8%AD%E7%BE%8E%E6%9D%91%E5%BA%97%29&travelmode=driving
ChIJqaDbThk9aTQRcexbooqRZEI,春宅(台中美村店),24.153,120.662,台中市西區美村路一段89號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/v1a7/chun-zhai-tai-zhong-mei-cun-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%98%A5%E5%AE%85%28%E5%8F%B0%E4%B8%AD%E7%BE%8E%E6%9D%91%E5%BA%97%29&travelmode=driving
ChIJz2dwtUs9aTQRr-8y6jju-5s,喜道StartTea,24.1503,120.66,台中市西區中美街337號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/o5i6/xi-dao-starttea,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%96%9C%E9%81%93StartTea&travelmode=driving
ChIJW4GuiOk9aTQR3IVPDR-v-Fk,迷客夏 Milksha(台中一中店),24.1532,120.685,台中市北區三民路三段193-4號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/v328/mi-ke-xia-milksha-tai-zhong-zhong-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%BF%B7%E5%AE%A2%E5%A4%8F+Milksha%28%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97%29&travelmode=driving
ChIJv4c2HMM9aTQRtu9aipLtue0,先喝道(台中學士店),24.1598,120.681,台中市北區學士路186號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/pth9/xian-he-dao-tai-zhong-xue-shi-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%85%88%E5%96%9D%E9%81%93%28%E5%8F%B0%E4%B8%AD%E5%AD%B8%E5%A3%AB%E5%BA%97%29&travelmode=driving
ChIJvdPiJgA9aTQRngFSzECmUsg,NOOM晌暮(台中美村店),24.1516,120.662,台中市西區美村路一段143號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/dyxr/noomshang-mu-tai-zhong-mei-cun-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=NOOM%E6%99%8C%E6%9A%AE%28%E5%8F%B0%E4%B8%AD%E7%BE%8E%E6%9D%91%E5%BA%97%29&travelmode=driving
ChIJnyuABYI9aTQRlkYMBek86-Q,再睡5分鐘(台中一中店),24.1485,120.685,台中市北區尊賢街7號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/ynha/zai-shui-5fen-zhong-tai-zhong-zhong-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%86%8D%E7%9D%A15%E5%88%86%E9%90%98%28%E5%8F%B0%E4%B8%AD%E4%B8%80%E4%B8%AD%E5%BA%97%29&travelmode=driving
ChIJXW5_TYw9aTQRe6XHnGWtsRk,Rinskings芸蒔刻鮮果製茶園,24.1467,120.663,台中市西區向上路一段99-3號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/tz7z/rinskingsyun-shi-ke-xian-guo-zhi-cha-yuan,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=Rinskings%E8%8A%B8%E8%92%94%E5%88%BB%E9%AE%AE%E6%9E%9C%E8%A3%BD%E8%8C%B6%E5%9C%92&travelmode=driving
ChIJo3axvfKpQjQR7eb3fnQdW1k,泰咪-泰式奶茶,24.1503,120.711,台中市太平區樹德路16之1號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/cp93/tai-mi-tai-shi-nai-cha,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%B3%B0%E5%92%AA-%E6%B3%B0%E5%BC%8F%E5%A5%B6%E8%8C%B6&travelmode=driving
ChIJnSWqIgA9aTQRoBOYYUVT-FQ,北回木瓜牛奶(一中店),24.1482,120.684,台中市北區太平路87號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/ver2/bei-hui-mu-gua-niu-nai-zhong-dian-ver2,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%8C%97%E5%9B%9E%E6%9C%A8%E7%93%9C%E7%89%9B%E5%A5%B6%28%E4%B8%80%E4%B8%AD%E5%BA%97%29&travelmode=driving
ChIJ02_lTUY9aTQRLbK_AzjjJ1s,舒粒珍飲攤,24.1467,120.66,台中市西區向上路一段235號,Taichung City,台中市,https://foodpanda.com.tw/restaurant/a5ud/shu-li-zhen-yin-tan,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%88%92%E7%B2%92%E7%8F%8D%E9%A3%B2%E6%94%A4&travelmode=driving
