place_id,place_names,latitude,longitude,address,city,city_CN,redirection_url,navigation_url
ChIJ45reslPZaDQRWN6VeLcXq8I,樂卓手搖飲,23.9667,120.966,南投縣埔里鎮中正路466號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/lkds/le-zhuo-shou-yao-yin,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%A8%82%E5%8D%93%E6%89%8B%E6%90%96%E9%A3%B2&travelmode=driving
ChIJfbUXT5_ZaDQRqiqRsmzi_NM,御香亭水菓茶飲,23.9668,120.966,南投縣埔里鎮中正路470號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/d6pq/yu-xiang-ting-shui-guo-cha-yin,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%BE%A1%E9%A6%99%E4%BA%AD%E6%B0%B4%E8%8F%93%E8%8C%B6%E9%A3%B2&travelmode=driving
ChIJ4V-qFderQjQRDb1Sh_0P1Uk,名家咖啡,23.9689,120.969,南投縣埔里鎮北環路134號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/b8tw/ming-jia-ka-pei,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%90%8D%E5%AE%B6%E5%92%96%E5%95%A1&travelmode=driving
ChIJMw5_9nN7bjQR6ExFahLA8Mw,原未綠豆沙,23.9671,120.965,南投縣埔里鎮中正路499號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/e1jq/yuan-wei-lu-dou-sha,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%8E%9F%E6%9C%AA%E7%B6%A0%E8%B1%86%E6%B2%99&travelmode=driving
ChIJQzB1_kDZaDQRuYDmyYYMZV4,引豆入室花生沙牛乳(南投埔里店),23.9674,120.963,南投縣埔里鎮南昌街293號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/ytmi/yin-dou-ru-shi-hua-sheng-sha-niu-ru-nan-tou-bu-li-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%BC%95%E8%B1%86%E5%85%A5%E5%AE%A4%E8%8A%B1%E7%94%9F%E6%B2%99%E7%89%9B%E4%B9%B3%28%E5%8D%97%E6%8A%95%E5%9F%94%E9%87%8C%E5%BA%97%29&travelmode=driving
ChIJP2iPEHbZaDQRaRcdAHTiL1E,TEATOP 第一味(埔里南昌店),23.9675,120.962,南投縣埔里鎮南昌街313號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/e9jd/teatop-di-wei-bu-li-nan-chang-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=TEATOP+%E7%AC%AC%E4%B8%80%E5%91%B3%28%E5%9F%94%E9%87%8C%E5%8D%97%E6%98%8C%E5%BA%97%29&travelmode=driving
ChIJe0XIr6bZaDQRfffdf3W0lPY,STARBUCKS 星巴克(埔里門市),23.9684,120.959,南投縣埔里鎮中山路三段245號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/f5az/starbucks-xing-ba-ke-bu-li-men-shi,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=STARBUCKS+%E6%98%9F%E5%B7%B4%E5%85%8B%28%E5%9F%94%E9%87%8C%E9%96%80%E5%B8%82%29&travelmode=driving
ChIJEyE1DVLZaDQREr6iHwhKEyM,舞讚紅茶冰(埔里中山店),23.9711,120.949,南投縣埔里鎮中山路三段646號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/dbyb/wu-zan-hong-cha-bing-bu-li-zhong-shan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E8%88%9E%E8%AE%9A%E7%B4%85%E8%8C%B6%E5%86%B0%28%E5%9F%94%E9%87%8C%E4%B8%AD%E5%B1%B1%E5%BA%97%29&travelmode=driving
ChIJiS-wXKnZaDQRJWFsMqNhGR8,崎下杯樂,23.9712,120.948,南投縣埔里鎮中山路三段668號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/h1nf/qi-xia-bei-le,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E5%B4%8E%E4%B8%8B%E6%9D%AF%E6%A8%82&travelmode=driving
ChIJbeb4xJ3ZaDQRIYFtfvF6pwA,50嵐(埔里中山店),23.9685,120.971,南投縣埔里鎮北安里中山路二段153號1樓,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/y7s2/50lan-bu-li-zhong-shan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=50%E5%B5%90%28%E5%9F%94%E9%87%8C%E4%B8%AD%E5%B1%B1%E5%BA%97%29&travelmode=driving
ChIJyet7QADZaDQRccenWRttjyY,春和茶水攤X小食·厚吐司,24.0001,120.965,南投縣埔里鎮西安路二段346號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/ee31/chun-he-cha-shui-tan-xxiao-shi-hou-tu-si,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=%E6%98%A5%E5%92%8C%E8%8C%B6%E6%B0%B4%E6%94%A4X%E5%B0%8F%E9%A3%9F%C2%B7%E5%8E%9A%E5%90%90%E5%8F%B8&travelmode=driving
ChIJ2Xluw3BOXTQRCAN2CaCJSpI,329巷紅茶冰(中山店),23.9685,120.971,南投縣埔里鎮中山路二段154號,Nantou County,南投縣,https://foodpanda.com.tw/restaurant/uxe7/329xiang-hong-cha-bing-zhong-shan-dian,https://www.google.com/maps/dir/?api=1&origin=%E6%9D%B1%E5%90%B3%E5%A4%A7%E5%AD%B8%E5%9F%8E%E4%B8%AD%E6%A0%A1%E5%8D%80&destination=329%E5%B7%B7%E7%B4%85%E8%8C%B6%E5%86%B0%28%E4%B8%AD%E5%B1%B1%E5%BA%97%29&travelmode=driving
